task,case,arm,repeat,stage,candidate,status,candidate_ms,reference_ms,ratio,failure_stage,error,reference_timing_note,reference_correction,original_status,evaluation_repaired,reused_from
tensordot,upstream-profile-4,intent,0,generation,1,pass,0.007943999953567982,0.005887999897822738,1.349184798135868,,,,,,,
combined_activation,upstream-profile-6,triton,0,generation,1,pass,0.044703999534249306,0.024224000051617622,1.845442513168426,,,,,,,
asin,upstream-profile-8,triton,0,generation,1,execution_failure,,,,generated_launch,"at 5:13:
def asin_kernel(input_ptr, output_ptr, n_elements, input_stride, output_stride, BLOCK: tl.constexpr):
    offsets = tl.program_id(0) * BLOCK + tl.arange(0, BLOCK)
    mask = offsets < n_elements
    values = tl.load(input_ptr + offsets * input_stride, mask=mask, other=0.0)
    values = tl.math.asin(values.to(tl.float32))
             ^
AttributeError(""module 'triton.language.math' has no attribute 'asin'"")",,,,,
asin,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/asin/intent/repeat-0/generation-1/candidate.py:11:24: error: compile-time object has no attribute 'asin',,,,,
gelu_conv2d,upstream-profile-4,intent,0,generation,2,pass,3.6518160104751587,0.034592000767588615,105.56822182707543,,,,,,,
add_mean,upstream-profile-8,triton,0,generation,1,pass,0.011320000048726797,0.018432000651955605,0.614149286476168,,,,,,,
combined_activation,upstream-profile-6,intent,0,generation,2,pass,0.014128000009804964,0.0243520000949502,0.580157685394172,,,,,,,
add_mean,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,"/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/add_mean/intent/repeat-0/generation-1/candidate.py:9:5: error: rank-zero values use runtime scalar parameters, not tensor views",,,,,
softplus_linear,upstream-profile-6,intent,0,generation,3,compilation_failure,,,,kernel_ir_parse,"Intent Triton compiler failed with exit code 2:
loc(""<stdin>"":15:11): error: 'intent.broadcast' op broadcast source must be scalar or ranked tensor
",,,,,
asin,upstream-profile-8,triton,0,generation,2,pass,0.0059200001414865255,0.005919999908655882,1.0000000393295012,,,,,,,
add_mean,upstream-profile-8,intent,0,generation,2,execution_failure,,,,generated_launch,no legal full-coverage extent for FULL_D1,,,,,
asin,upstream-profile-8,intent,0,generation,2,pass,0.00787200010381639,0.005888000130653381,1.336956509704229,,,,,,,
fused_layer_norm_relu_linear,upstream-profile-4,triton,0,generation,1,pass,0.17387200146913528,0.06773600354790688,2.566906701930869,,,,,,,
fused_cholesky_solve,upstream-profile-6,triton,0,generation,1,pass,7.501408100128174,,,,,The unchanged PyTorch reference cannot be captured by CUDA Graph. Its eager output remains the numerical oracle. Candidate time is the completed CUDA Graph window before reference capture; no reference ratio is available.,,reference_failure,True,
conv2d,upstream-profile-2,triton,0,generation,1,agent_environment_failure,,,,,Agent execution stopped before a submission,,,,,
matmul,upstream-profile-6,triton,0,generation,1,agent_environment_failure,,,,,Agent execution stopped before a submission,,,,,
fused_cholesky_solve,upstream-profile-6,intent,0,generation,1,agent_environment_failure,,,,,Agent execution stopped before a submission,,,,,
conv2d,upstream-profile-2,intent,0,generation,1,agent_environment_failure,,,,,Agent execution stopped before a submission,,,,,
add_mean,upstream-profile-8,intent,0,generation,3,agent_environment_failure,,,,,Agent execution stopped before a submission,,,,,
fused_layer_norm_relu_linear,upstream-profile-4,intent,0,generation,1,agent_environment_failure,,,,,Agent execution stopped before a submission,,,,,
softplus_linear,upstream-profile-6,intent,0,generation,4,agent_environment_failure,,,,,Agent execution stopped before a submission,,,,,
matmul,upstream-profile-6,intent,0,generation,1,pass,0.018207999877631664,0.018016000278294086,1.0106571712018066,,,,,,,
matmul,upstream-profile-6,triton,0,generation,1,pass,0.028672000393271446,0.01812800019979477,1.581641663573903,,,,,,,
fused_layer_norm_relu_linear,upstream-profile-4,intent,0,generation,1,compilation_failure,,,,physical_program_verification,"Intent Triton compiler failed with exit code 4:
loc(""<stdin>"":24:13): error: 'intent_gpu.load' op full-coverage validity has no exact physical projection
loc(""<stdin>"":2:3): error: full-coverage decision could not preserve access validity
loc(""<stdin>"":24:13): error: 'intent_gpu.make_range' op internal pointwise traversal has no exact full-coverage realization; source_id=10, fragment='!intent_gpu.fragment<index, [#intent_gpu.expr<1, 0, ""FULL_D3"", []>], [#intent_gpu.axis_map<10, 0, 3, 0, false>], 1, 1>'
loc(""<stdin>"":1:1): error: shared GPU transformation failed: form-pointwise-blocking
",,,,,
softplus_linear,upstream-profile-6,intent,0,generation,4,compilation_failure,,,,kernel_ir_parse,"Intent Triton compiler failed with exit code 2:
loc(""<stdin>"":15:11): error: 'intent.broadcast' op broadcast source must be scalar or ranked tensor
",,,,,
conv2d,upstream-profile-2,intent,0,generation,1,pass,0.9692719876766205,0.03457600064575672,28.03308565403942,,,,,,,
fused_cholesky_solve,upstream-profile-6,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_cholesky_solve/intent/repeat-0/generation-1-resume-1/candidate.py:33:13: error: Out-only view cannot be read,,,,,
add_mean,upstream-profile-8,intent,0,generation,3,pass,0.018223999999463558,0.018432000651955605,0.9887152427769702,,,,,,,
fused_gather_masked_fill,upstream-profile-5,triton,0,generation,1,pass,0.028384000062942505,0.02635199949145317,1.0771099199568663,,,,,,,
conv2d,upstream-profile-2,triton,0,generation,1,execution_failure,,,,generated_launch,"at 76:15:

        input_channel = k_offsets // (KERNEL_H * KERNEL_W)
        kernel_offset = k_offsets % (KERNEL_H * KERNEL_W)
        kernel_row = kernel_offset // KERNEL_W
        kernel_col = kernel_offset % KERNEL_W

        input_row = output_row[:, None] * STRIDE_H - PAD_H + kernel_row[None, :] * DILATION_H
        input_col = output_col[:, None] * STRIDE_W - PAD_W + kernel_col[None, :] * DILATION_W

        input_offsets = (
            batch[:, None] * input_stride_n
            + (input_channel_base[None, :] + input_channel[None, :]) * input_stride_c
               ^
ValueError('Cannot make_shape_compatible: incompatible dimensions at index 1: 64 and 32')",,,,,
fused_gather_masked_fill,upstream-profile-5,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_gather_masked_fill/intent/repeat-0/generation-1/candidate.py:16:29: error: cannot broadcast dimensions M and N,,,,,
fused_cholesky_solve,upstream-profile-6,intent,0,generation,2,compilation_failure,,,,physical_program_verification,"Intent Triton compiler failed with exit code 4:
loc(""<stdin>"":14:5): error: 'intent_gpu.store' op full-coverage validity has no exact physical projection
loc(""<stdin>"":2:3): error: full-coverage decision could not preserve access validity
loc(""<stdin>"":14:5): error: 'intent_gpu.make_range' op internal pointwise traversal has no exact full-coverage realization; source_id=16, fragment='!intent_gpu.fragment<index, [#intent_gpu.expr<1, 0, ""FULL_D1"", []>], [#intent_gpu.axis_map<16, 0, 1, 0, true>], 1, 1>'
loc(""<stdin>"":1:1): error: shared GPU transformation failed: form-pointwise-blocking
",,,,,
fused_layer_norm_relu_linear,upstream-profile-4,intent,0,generation,2,compilation_failure,,,,kernel_ir_parse,"Intent Triton compiler failed with exit code 2:
loc(""<stdin>"":17:11): error: 'intent.broadcast' op broadcast source must be scalar or ranked tensor
",,,,,
addmm,upstream-profile-6,triton,0,generation,1,pass,0.03254400007426739,0.022007999941706657,1.4787350127439018,,,,,,,
addmm,upstream-profile-6,intent,0,generation,1,pass,0.018408000469207764,0.022223999723792076,0.8282937679080753,,,,,,,
conv2d,upstream-profile-2,triton,0,generation,2,execution_failure,,,,generated_launch,"at 75:12:
        k_mask = k_offsets < K_TOTAL

        input_channel = k_offsets // (KERNEL_H * KERNEL_W)
        kernel_offset = k_offsets % (KERNEL_H * KERNEL_W)
        kernel_row = kernel_offset // KERNEL_W
        kernel_col = kernel_offset % KERNEL_W

        input_row = output_row[:, None] * STRIDE_H - PAD_H + kernel_row[None, :] * DILATION_H
        input_col = output_col[:, None] * STRIDE_W - PAD_W + kernel_col[None, :] * DILATION_W

        input_offsets = (
            batch[:, None] * input_stride_n
            ^
ValueError('Cannot make_shape_compatible: incompatible dimensions at index 0: 32 and 64')",,,,,
softplus_linear,upstream-profile-6,intent,0,generation,5,compilation_failure,,,,kernel_ir_parse,"Intent Triton compiler failed with exit code 2:
loc(""<stdin>"":15:11): error: 'intent.broadcast' op broadcast source must be scalar or ranked tensor
",,,,,
fused_cholesky_solve,upstream-profile-6,intent,0,generation,3,compilation_failure,,,,physical_program_verification,"Intent Triton compiler failed with exit code 4:
loc(""<stdin>"":2:3): error: full-coverage physicalization has no runtime or static dimension authority
loc(""<stdin>"":15:13): error: 'intent_gpu.reduce' op construction scalar reduction axis has no exact full-coverage realization
loc(""<stdin>"":1:1): error: shared GPU transformation failed: realize-reductions
",,,,,
fused_gather_masked_fill,upstream-profile-5,intent,0,generation,2,compilation_failure,,,,frontend_kir,"/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_gather_masked_fill/intent/repeat-0/generation-2/candidate.py:14:12: error: expected scalar/tensor value, got domain<3,1,9>",,,,,
fused_layer_norm_relu_linear,upstream-profile-4,intent,0,generation,3,compilation_failure,,,,physical_program_verification,"Intent Triton compiler failed with exit code 4:
loc(""<stdin>"":12:10): error: 'intent_gpu.contract' op pointwise ownership found two non-equivalent contract extents
loc(""<stdin>"":1:1): error: shared GPU transformation failed: form-pointwise-blocking
",,,,,
conv2d,upstream-profile-2,triton,0,generation,3,pass,0.09080799669027328,0.034592000767588615,2.625115479742846,,,,,,,
cos,upstream-profile-8,triton,0,generation,1,pass,0.007935999892652035,0.007967999903485179,0.9959839343347447,,,,,,,
cos,upstream-profile-8,intent,0,generation,1,pass,0.006880000000819564,0.007935999892652035,0.8669354957010239,,,,,,,
fused_cholesky_solve,upstream-profile-6,intent,0,generation,4,pass,28.98428726196289,,,,,The unchanged PyTorch reference cannot be captured by CUDA Graph. Its eager output remains the numerical oracle. Candidate time is the completed CUDA Graph window before reference capture; no reference ratio is available.,,,,
fused_gather_masked_fill,upstream-profile-5,intent,0,generation,3,compilation_failure,,,,physical_program_verification,"Intent Triton compiler failed with exit code 4:
loc(""<stdin>"":8:10): error: 'intent_gpu.make_range' op dynamic ownership range has no launch-visible logical dimension; axis=#intent_gpu.source<9, 0, false>, fragment='!intent_gpu.fragment<index, [#intent_gpu.expr<0, 1, """", []>], [#intent_gpu.axis_map<9, 0, 3, 0, false>], 1, 1>', parameter=FRAGMENT_S9_A0
loc(""<stdin>"":1:1): error: shared GPU transformation failed: form-pointwise-ownership
",,,,,
exp,upstream-profile-8,triton,0,generation,1,pass,0.005936000030487776,0.00711200013756752,0.834645657433583,,,,,,,
fused_qr_solve,upstream-profile-4,triton,0,generation,1,pass,16.26518440246582,,,,,The unchanged PyTorch reference cannot be captured by CUDA Graph. Its eager output remains the numerical oracle. Candidate time is the completed CUDA Graph window before reference capture; no reference ratio is available.,,,,
exp,upstream-profile-8,intent,0,generation,1,pass,0.00595200015231967,0.006888000061735511,0.8641115126267863,,,,,,,
tensordot_rsqrt,upstream-profile-5,intent,0,generation,1,pass,0.0447199996560812,0.04747200012207031,0.9420289758402306,,,,,,,
fused_qr_solve,upstream-profile-4,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_qr_solve/intent/repeat-0/generation-1/candidate.py:39:21: error: Out-only view cannot be read,,,,,
fused_gather_masked_fill,upstream-profile-5,intent,0,generation,4,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_gather_masked_fill/intent/repeat-0/generation-4/candidate.py:16:9: error: stored/scattered value cannot broadcast to indexed shape,,,,,
fused_layer_norm_relu_linear,upstream-profile-4,intent,0,generation,4,pass,0.2038400024175644,0.06656000018119812,3.062500027984452,,,,,,,
fused_qr_solve,upstream-profile-4,intent,0,generation,2,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_qr_solve/intent/repeat-0/generation-2/candidate.py:40:28: error: mixed dtypes require an explicit I.cast,,,,,
permute_copy,upstream-profile-2,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/permute_copy/intent/repeat-0/generation-1/candidate.py:14:5: error: cannot broadcast dimensions D3 and D0,,,,,
tensordot_rsqrt,upstream-profile-5,triton,0,generation,1,pass,0.04676800034940243,0.04678400047123432,0.999658000135287,,,,,,,
sub_gelu,upstream-profile-8,triton,0,generation,1,reference_contract_failure,,,,reference_contract,"The default branch computes 0.5*x*erf(x/sqrt(2)), omitting the 1 + required by GELU. Both arms implement standard GELU and repeatedly differ from this reference by max_abs=0.49934613704681396. These numerical failures cannot be attributed to agent or compiler arithmetic without resolving the reference/task conflict.",,,numerical_failure,,
fused_gather_masked_fill,upstream-profile-5,intent,0,generation,5,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_gather_masked_fill/intent/repeat-0/generation-5/candidate.py:17:9: error: stored/scattered value cannot broadcast to indexed shape,,,,,
permute_copy,upstream-profile-2,intent,0,generation,2,numerical_failure,,,,comparison,"generated/source floating result 0 differs: max_abs=0.9999989867210388, atol=0.0, rtol=0.0",,,,,
exp_mean,upstream-profile-8,triton,0,generation,1,pass,0.007840000092983246,0.014352000318467617,0.546265323231287,,,,,,,
fused_qr_solve,upstream-profile-4,intent,0,generation,3,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/fused_qr_solve/intent/repeat-0/generation-3/candidate.py:12:9: error: return inside structured control flow is unsupported; return after the region,,,,,
sub_gelu,upstream-profile-8,intent,0,generation,1,compilation_failure,,,,frontend_kir,/home/kingdom/phdworks/intentdsl/report/agent-tritonbench/expanded/programs/sub_gelu/intent/repeat-0/generation-1/candidate.py:24:11: error: mixed dtypes require an explicit I.cast,,,,,
